iter	Accuracy	MultiClass
0	0.7233977774	1.034869202
1	0.7293347541	0.9896068685
2	0.7241589283	0.9495904043
3	0.7293347541	0.915166578
4	0.7278124524	0.8875549307
5	0.7235500076	0.8635814234
6	0.7287258335	0.8434484527
7	0.7276602223	0.8275336532
8	0.7290302938	0.810775119
9	0.7293347541	0.7969538514
10	0.7293347541	0.7847897188
11	0.7293347541	0.7742321358
12	0.7293347541	0.7652903934
13	0.7293347541	0.7581785978
14	0.7293347541	0.7519322128
15	0.7293347541	0.7451614831
16	0.7293347541	0.7399842636
17	0.7293347541	0.7362981034
18	0.7293347541	0.7313792132
19	0.7293347541	0.7269735962
20	0.729182524	0.7236447397
21	0.7293347541	0.720572019
22	0.7293347541	0.717829017
23	0.7293347541	0.71556381
24	0.7293347541	0.7129940402
25	0.7294869843	0.7108345123
26	0.7294869843	0.709161735
27	0.7294869843	0.7072588751
28	0.7294869843	0.7056312175
29	0.7294869843	0.704188932
30	0.7294869843	0.7028412669
31	0.7294869843	0.7013425588
32	0.7294869843	0.700258706
33	0.7294869843	0.6991150391
34	0.7296392145	0.6978129447
35	0.7294869843	0.6966198457
36	0.7297914447	0.6952818267
37	0.7297914447	0.6946352744
38	0.7297914447	0.6937200318
39	0.7299436748	0.6928299732
40	0.7297914447	0.6914987407
41	0.7299436748	0.6906953024
42	0.730095905	0.6893904259
43	0.730095905	0.6886435909
44	0.7304003654	0.6877840081
45	0.7304003654	0.6866718333
46	0.7304003654	0.6856476736
47	0.7307048257	0.6852456477
48	0.7307048257	0.6847064625
49	0.7308570559	0.684302857
50	0.7308570559	0.6837047247
51	0.731009286	0.6830579413
52	0.7311615162	0.6822463006
53	0.7316182067	0.6814483779
54	0.7313137464	0.6807884232
55	0.7313137464	0.6803605849
56	0.7313137464	0.6793738464
57	0.7319226671	0.6788196706
58	0.7317704369	0.6783952258
59	0.7322271274	0.6778062571
60	0.7323793576	0.6773966565
61	0.7326838179	0.6765895351
62	0.7329882783	0.675848634
63	0.7329882783	0.6753847571
64	0.7331405084	0.674417277
65	0.7334449688	0.6740939347
66	0.733597199	0.6736641244
67	0.7343583498	0.6730176846
68	0.7346628102	0.6725493791
69	0.7352717309	0.6721438407
70	0.735423961	0.6719742741
71	0.7361851119	0.6713125615
72	0.7363373421	0.6705787267
73	0.7370984929	0.6701714933
74	0.7375551834	0.6696805338
75	0.7377074136	0.6691221688
76	0.7375551834	0.6689233214
77	0.7375551834	0.6682518725
78	0.7374029533	0.6679279284
79	0.7374029533	0.6674160985
80	0.7374029533	0.6668846918
81	0.7375551834	0.6663129097
82	0.7372507231	0.6657668008
83	0.7375551834	0.6651449084
84	0.7377074136	0.6649555098
85	0.7377074136	0.6642509315
86	0.738011874	0.6639382077
87	0.7383163343	0.663459289
88	0.7387730248	0.6631207189
89	0.738925255	0.6625660138
90	0.7396864058	0.6618185305
91	0.7399908662	0.6611879722
92	0.7396864058	0.6603095749
93	0.740752017	0.6592191581
94	0.7410564774	0.6588342528
95	0.7410564774	0.6582878581
96	0.7410564774	0.6578868935
97	0.7409042472	0.6574918821
98	0.7412087076	0.6569800065
99	0.7416653981	0.655913606
100	0.7418176283	0.6554203258
101	0.7412087076	0.6549049364
102	0.7416653981	0.6541141496
103	0.7419698584	0.6537098375
104	0.7413609377	0.6529887853
105	0.7419698584	0.6526017505
106	0.7419698584	0.6521973491
107	0.7418176283	0.6517767227
108	0.7424265489	0.6512163251
109	0.7434921601	0.6509952888
110	0.7434921601	0.6507849654
111	0.7444055412	0.6498931867
112	0.7448622317	0.6493659794
113	0.7447100015	0.6489867183
114	0.7447100015	0.6483849974
115	0.7448622317	0.647767107
116	0.7450144619	0.6471890436
117	0.7454711524	0.6465077218
118	0.7454711524	0.6460055957
119	0.7454711524	0.6455747667
120	0.7456233826	0.6452845153
121	0.7457756127	0.6448871953
122	0.7454711524	0.6444841723
123	0.7448622317	0.6438529113
124	0.7454711524	0.6431559009
125	0.7459278429	0.6424906281
126	0.7466889938	0.6416342042
127	0.7463845334	0.6412192179
128	0.7466889938	0.6404344422
129	0.7466889938	0.6397906888
130	0.7466889938	0.6390848543
