iter	Passed	Remaining
0	7	7695
1	14	7312
2	21	7304
3	29	7315
4	36	7284
5	43	7206
6	50	7172
7	57	7140
8	64	7144
9	71	7029
10	77	6991
11	84	6939
12	91	6929
13	97	6887
14	104	6848
15	110	6825
16	118	6839
17	125	6827
18	132	6836
19	139	6831
20	146	6820
21	153	6833
22	160	6827
23	171	6957
24	179	7017
25	186	7001
26	193	6982
27	200	6972
28	207	6952
29	214	6940
30	221	6928
31	228	6919
32	235	6895
33	244	6934
34	250	6914
35	257	6897
36	264	6882
37	271	6861
38	276	6825
39	283	6814
40	290	6798
41	297	6782
42	304	6766
43	310	6748
44	317	6733
45	325	6745
46	331	6729
47	338	6709
48	344	6693
49	351	6673
50	357	6659
51	364	6652
52	371	6639
53	378	6626
54	385	6616
55	392	6608
56	399	6601
57	405	6587
58	412	6576
59	418	6555
60	424	6540
61	431	6534
62	438	6525
63	445	6510
64	452	6504
65	460	6514
66	467	6505
67	474	6497
68	480	6482
69	487	6473
70	494	6467
71	501	6461
72	508	6456
73	515	6445
74	522	6438
75	528	6430
76	535	6418
77	542	6407
78	548	6395
79	555	6385
80	562	6376
81	568	6365
82	575	6354
83	581	6345
84	588	6339
85	598	6355
86	605	6350
87	611	6341
88	618	6328
89	624	6319
90	633	6324
91	639	6314
92	646	6304
93	653	6298
94	661	6297
95	667	6290
96	674	6279
97	681	6271
98	687	6258
99	694	6253
100	701	6242
101	708	6234
102	715	6228
103	721	6219
104	728	6209
105	734	6198
106	741	6187
107	747	6177
108	754	6165
109	763	6176
110	778	6231
111	784	6223
112	792	6217
113	798	6208
114	805	6200
115	812	6192
116	819	6183
117	825	6173
118	832	6162
119	838	6151
120	845	6142
121	852	6136
122	859	6131
123	866	6124
124	873	6117
125	880	6108
126	890	6124
127	897	6116
128	906	6118
129	914	6120
130	921	6112
131	928	6105
132	935	6098
133	942	6091
134	949	6082
135	956	6076
136	963	6071
137	970	6063
138	977	6056
139	984	6048
140	991	6039
141	998	6031
142	1004	6020
143	1011	6011
144	1017	6002
145	1024	5991
146	1031	5984
147	1037	5975
148	1044	5967
149	1051	5959
150	1058	5950
151	1064	5940
152	1071	5931
153	1078	5923
154	1084	5913
155	1091	5902
156	1097	5894
157	1104	5886
158	1111	5876
159	1117	5865
160	1123	5853
161	1134	5866
162	1140	5856
163	1147	5848
164	1153	5839
165	1160	5832
166	1168	5826
167	1175	5819
168	1181	5811
169	1188	5802
170	1195	5794
171	1204	5798
172	1214	5804
173	1221	5797
174	1227	5788
175	1234	5780
176	1242	5775
177	1249	5768
178	1256	5764
179	1263	5757
180	1270	5748
181	1278	5744
182	1285	5737
183	1292	5733
184	1299	5726
185	1307	5721
186	1314	5714
187	1320	5704
188	1328	5698
189	1336	5695
190	1343	5690
191	1350	5683
192	1357	5676
193	1364	5668
194	1371	5661
195	1378	5652
196	1384	5644
197	1392	5639
198	1399	5631
199	1406	5624
200	1412	5616
201	1419	5607
202	1427	5604
203	1436	5604
204	1442	5594
205	1449	5586
206	1455	5577
207	1462	5570
208	1470	5563
209	1476	5554
210	1482	5545
211	1489	5536
212	1496	5530
213	1503	5521
214	1510	5514
215	1517	5507
216	1524	5499
217	1530	5491
218	1537	5483
219	1544	5474
220	1555	5482
221	1563	5479
222	1569	5470
223	1576	5460
224	1583	5454
225	1589	5444
226	1600	5448
227	1606	5439
228	1613	5431
229	1620	5423
230	1626	5415
231	1632	5405
232	1638	5395
233	1645	5386
234	1652	5379
235	1658	5370
236	1665	5360
237	1671	5352
238	1682	5356
239	1688	5347
240	1695	5338
241	1702	5331
242	1708	5323
243	1715	5316
244	1722	5308
245	1729	5301
246	1735	5292
247	1742	5283
248	1749	5275
249	1755	5267
250	1763	5261
251	1769	5253
252	1777	5247
253	1783	5238
254	1789	5229
255	1797	5222
256	1803	5214
257	1811	5208
258	1817	5199
259	1824	5192
260	1831	5187
261	1839	5180
262	1845	5172
263	1852	5164
264	1859	5156
265	1865	5148
266	1872	5139
267	1878	5131
