,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,career_year,career_start_age,ability,ability2,income_unit,OK,Bravo
0,0,0,0,0,0,202500,0,1,1,2,13899,4709,0,0,0,,2,6,1,38,13,25,10.88241617,43.00276067,101250,0000202500011213899470900021381325,0
1,1,0,0,1,1,247500,0,4,0,1,11380,1540,0,0,1,Laborers,3,5,1,31,5,26,19.15634675,160.7142857,82500,00112475000401113801540001Laborers3131526,0
2,2,0,1,1,0,450000,4,1,1,1,19087,4434,0,1,0,Managers,2,22,2,52,13,39,19.13183963,101.488498,225000,01104500004111190874434010Managers22521339,0
3,3,0,0,1,0,202500,0,4,1,1,15088,2092,0,1,0,Sales staff,2,37,0,41,6,35,11.78696158,96.79732314,101250,00102025000411150882092010Sales staff2041635,0
4,4,0,1,1,0,157500,2,1,1,1,15037,2105,0,0,0,Managers,2,26,2,41,6,35,9.187959398,74.82185273,78750,01101575002111150372105000Managers2241635,0
5,5,0,0,1,2,270000,4,4,1,1,13413,4996,0,0,1,High skill tech staff,4,18,1,36,14,22,14.6667391,54.04323459,67500,00122700004411134134996001High skill tech staff41361422,0
6,6,0,0,0,0,315000,4,4,2,1,17570,1978,0,0,1,Core staff,1,41,2,48,6,42,16.11418048,159.2517695,315000,00003150004421175701978001Core staff1248642,0
7,7,0,0,1,0,270000,0,4,1,1,14896,5420,0,0,1,Drivers,2,53,0,40,15,25,13.29001772,49.81549815,135000,00102700000411148965420001Drivers20401525,0
8,8,0,1,1,1,180000,0,1,1,1,15131,1466,0,0,1,,3,38,2,41,5,36,10.84533349,122.7830832,60000,011118000001111513114660013241536,0
9,9,0,0,1,0,103500,4,4,1,1,15785,1308,0,0,0,Medicine staff,2,5,2,43,4,39,6.055110279,79.12844037,51750,00101035004411157851308000Medicine staff2243439,0
10,10,0,0,1,0,193500,4,4,2,1,19063,2213,1,1,1,Laborers,1,40,2,52,7,45,9.094754653,87.43786715,193500,00101935004421190632213111Laborers1252745,0
11,11,0,1,1,1,135000,0,1,1,1,11759,91,0,0,0,Managers,3,51,2,32,1,31,11.39240506,1483.516484,45000,011113500001111175991000Managers3232131,0
12,12,0,1,1,1,157500,0,4,1,1,11938,2162,0,0,0,Accountants,3,60,0,32,6,26,11.17021277,72.84921369,52500,01111575000411119382162000Accountants3032626,0
13,13,0,0,0,0,135000,4,1,1,1,9887,2474,0,1,0,Sales staff,2,41,2,27,7,20,10.92144648,54.56750202,67500,0000135000411198872474010Sales staff2227720,0
14,14,0,0,1,0,157500,1,4,3,1,22922,365243,0,1,0,,1,41,2,62,1001,-939,0.405755284,0.431219763,157500,001015750014312292236524301012621001-939,0
15,15,0,1,1,2,157500,4,4,1,5,12859,4056,0,1,0,Drivers,4,60,0,35,12,23,9.311262193,38.83136095,39375,01121575004415128594056010Drivers40351223,0
16,16,0,0,1,0,180000,4,4,1,1,19408,4553,0,1,0,Laborers,2,2,1,53,13,40,7.512207337,39.53437294,90000,00101800004411194084553010Laborers21531340,0
17,17,0,0,0,0,270000,0,4,0,5,8853,984,0,0,1,Sales staff,2,14,2,24,3,21,27.4473925,274.3902439,135000,000027000004058853984001Sales staff2224321,0
18,18,0,0,1,0,216000,1,4,1,1,23113,365243,0,0,0,,2,37,2,63,1001,-938,0.556190712,0.591387104,108000,001021600014112311336524300022631001-938,0
19,19,0,0,1,0,180000,4,4,1,1,13727,6031,0,0,0,,2,7,2,37,17,20,9.110233829,29.84579672,90000,0010180000441113727603100022371720,0
20,20,0,0,0,0,180000,4,4,1,1,19850,1753,0,1,0,,2,35,2,54,5,49,8.332176087,102.6811181,90000,000018000044111985017530102254549,0
21,21,0,0,0,0,157500,1,4,1,1,21253,365243,0,1,0,,2,7,2,58,1001,-943,0.407507452,0.431219763,78750,000015750014112125336524301022581001-943,0
22,22,0,0,0,0,157500,0,4,0,1,15198,1357,0,0,0,Laborers,2,22,0,41,4,37,9.513742072,116.0648489,78750,00001575000401151981357000Laborers2041437,0
23,23,0,1,0,0,225000,4,4,1,2,14542,444,1,1,1,,2,18,2,39,2,37,15.01401308,506.7567568,112500,01002250004412145424441112239237,0
24,24,0,0,0,0,202500,1,4,3,1,22361,365243,0,1,0,,1,5,2,61,1001,-940,0.522440429,0.55442541,202500,000020250014312236136524301012611001-940,0
25,25,0,0,1,1,225000,0,4,1,1,14058,3694,0,0,0,Realty agents,3,4,2,38,11,27,12.67462821,60.90958311,75000,00112250000411140583694000Realty agents32381127,0
26,26,0,1,0,1,135000,4,1,1,1,17843,3353,1,0,0,Laborers,3,13,2,48,10,38,6.36912625,40.26245154,45000,01011350004111178433353100Laborers32481038,0
27,27,0,1,1,0,405000,2,4,1,1,17309,3500,0,0,0,,2,57,2,47,10,37,19.46273247,115.7142857,202500,0110405000241117309350000022471037,0
28,28,0,1,0,0,112500,0,4,1,5,22111,2325,1,1,0,Drivers,2,47,2,60,7,53,4.603863153,48.38709677,56250,01001125000415221112325110Drivers2260753,0
