,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,family_size,begin_month,credit,num_card,Age,career_year,career_start_age,ability,ability2,income_unit
8076,8076,1,0,1,0,101250.0,4,4,3,1,10179,1813.0,0,1,0,1.0,7.0,1.0,1,27,5.0,22.0,8.443128752501668,55.846662989520134,101250.0
4803,4803,1,0,1,0,101250.0,1,4,4,1,22059,10585.0,0,1,0,1.0,30.0,0.0,4,60,29.0,31.0,0.26142390176141617,0.2772127049662827,101250.0
12317,12317,1,0,1,0,101250.0,1,4,4,1,22059,10585.0,0,1,0,1.0,2.0,1.0,2,60,29.0,31.0,0.26142390176141617,0.2772127049662827,101250.0
14668,14668,1,0,1,0,103500.0,4,4,1,1,10396,564.0,0,0,1,2.0,5.0,0.0,2,28,2.0,26.0,9.443430656934307,183.51063829787233,51750.0
8190,8190,1,0,1,0,103500.0,4,4,1,1,10396,564.0,0,0,1,2.0,1.0,1.0,1,28,2.0,26.0,9.443430656934307,183.51063829787233,51750.0
8246,8246,1,0,1,0,103500.0,4,4,1,1,10396,564.0,0,0,1,2.0,16.0,2.0,4,28,2.0,26.0,9.443430656934307,183.51063829787233,51750.0
22689,22689,1,1,1,0,103500.0,4,4,1,1,10761,126.0,0,1,0,2.0,20.0,0.0,1,29,1.0,28.0,9.506751171121522,821.4285714285714,51750.0
26415,26415,1,1,1,0,103500.0,4,4,1,1,10761,126.0,0,1,0,2.0,5.0,2.0,1,29,1.0,28.0,9.506751171121522,821.4285714285714,51750.0
3325,3325,1,0,1,0,103500.0,2,4,0,1,10961,473.0,0,0,0,2.0,59.0,1.0,2,30,2.0,28.0,9.051950323596293,218.81606765327695,51750.0
26442,26442,1,0,1,0,103500.0,2,4,0,1,10961,473.0,0,0,0,2.0,5.0,2.0,2,30,2.0,28.0,9.051950323596293,218.81606765327695,51750.0
17137,17137,0,0,1,0,103500.0,4,4,3,3,11331,1131.0,1,1,0,1.0,24.0,2.0,1,31,4.0,27.0,8.305247953779489,91.51193633952255,103500.0
7017,7017,1,0,1,0,103500.0,4,2,1,1,11855,4583.0,0,0,0,2.0,2.0,1.0,9,32,13.0,19.0,6.296386421705804,22.583460615317478,51750.0
10692,10692,1,0,1,0,103500.0,4,2,1,1,11855,4583.0,0,0,0,2.0,17.0,2.0,1,32,13.0,19.0,6.296386421705804,22.583460615317478,51750.0
9481,9481,0,1,0,0,103500.0,4,4,1,1,12120,4602.0,1,1,0,2.0,11.0,2.0,2,33,13.0,20.0,6.189451022604952,22.490221642764016,51750.0
1140,1140,1,0,0,0,103500.0,4,4,3,1,12348,424.0,1,1,0,1.0,37.0,1.0,3,33,2.0,31.0,8.103664265580958,244.10377358490567,103500.0
18140,18140,1,0,1,0,103500.0,4,1,1,1,12788,2308.0,0,0,0,2.0,33.0,0.0,1,35,7.0,28.0,6.856120826709062,44.84402079722704,51750.0
24987,24987,1,1,0,0,103500.0,4,1,1,1,14276,2561.0,1,1,0,2.0,10.0,2.0,4,39,8.0,31.0,6.147175862683376,40.41390081999219,51750.0
7263,7263,1,0,0,0,103500.0,2,4,0,1,14719,4082.0,0,0,0,2.0,53.0,2.0,1,40,12.0,28.0,5.505026328386788,25.355218030377266,51750.0
3382,3382,0,1,1,0,103500.0,4,4,3,1,15389,607.0,0,0,0,1.0,26.0,0.0,1,42,2.0,40.0,6.470367591897975,170.51070840197693,103500.0
16167,16167,0,1,1,0,103500.0,4,4,3,1,15389,607.0,0,0,0,1.0,28.0,2.0,3,42,2.0,40.0,6.470367591897975,170.51070840197693,103500.0
