,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,chi-fam,occyp_type_le,house_type_le,family_type_le,income_type_le,edu_type_le,Age,career_year,career_start_age,card_count,credit_change_count
0,17940,1,1,0,0,382500.0,Working,Higher education,Civil marriage,House / apartment,11153,1281,1,1,0,Accountants,2.0,60.0,2.0,-2.0,0,1,0,4,2,30,4.0,26.0,1,1
1,20390,1,0,1,1,67500.0,Working,Secondary / secondary special,Married,With parents,15964,385,0,0,0,Sales staff,3.0,60.0,2.0,-2.0,15,5,1,4,0,43,2.0,41.0,1,1
2,24612,1,0,1,3,180000.0,State servant,Higher education,Married,House / apartment,11627,1449,1,0,0,NaN,5.0,60.0,2.0,-2.0,12,1,1,2,2,31,4.0,27.0,1,1
3,17577,0,1,0,3,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15262,1674,0,0,0,Managers,5.0,60.0,2.0,-2.0,10,1,1,0,0,41,5.0,36.0,1,1
4,18174,1,0,0,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,11509,3506,0,0,0,Laborers,2.0,60.0,2.0,-1.0,8,1,2,4,0,31,10.0,21.0,1,1
5,23937,0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,12167,705,1,0,0,Drivers,2.0,60.0,2.0,-2.0,4,1,1,4,0,33,2.0,31.0,1,1
6,15463,1,0,0,0,112500.0,Working,Higher education,Married,With parents,10650,3702,1,1,0,Core staff,2.0,60.0,2.0,-2.0,3,5,1,4,2,29,11.0,18.0,1,1
7,15501,1,0,1,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,18670,0,0,0,0,NaN,1.0,60.0,2.0,-1.0,12,1,3,1,0,51,0.0,51.0,1,1
8,10653,0,0,0,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,13892,1929,0,0,0,High skill tech staff,3.0,60.0,1.0,-2.0,6,1,1,4,0,38,6.0,32.0,1,1
9,5231,1,0,1,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,19180,1223,1,1,0,NaN,2.0,60.0,2.0,-2.0,12,1,1,4,0,52,4.0,48.0,2,1
10,24895,1,0,1,0,180000.0,State servant,Secondary / secondary special,Married,Municipal apartment,19161,4581,0,0,0,Cleaning staff,2.0,60.0,2.0,-2.0,1,2,1,2,0,52,13.0,39.0,1,1
11,3458,1,0,1,0,189000.0,Commercial associate,Higher education,Married,House / apartment,15448,1875,0,0,0,Security staff,2.0,60.0,1.0,-2.0,17,1,1,0,2,42,6.0,36.0,2,2
12,18573,1,1,1,0,256500.0,Commercial associate,Higher education,Married,House / apartment,11210,1724,1,0,0,Accountants,2.0,60.0,2.0,-2.0,0,1,1,0,2,30,5.0,25.0,1,1
13,20330,0,0,1,0,450000.0,Commercial associate,Higher education,Married,House / apartment,18725,3603,0,1,0,Laborers,2.0,60.0,1.0,-2.0,8,1,1,0,2,51,10.0,41.0,1,1
14,11972,0,1,1,0,315000.0,Commercial associate,Higher education,Married,House / apartment,18661,1265,0,0,0,Managers,2.0,60.0,2.0,-2.0,10,1,1,0,2,51,4.0,47.0,1,1
15,13910,1,0,0,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22828,0,0,0,0,NaN,2.0,60.0,0.0,-2.0,12,1,1,1,0,62,0.0,62.0,1,1
16,9329,1,1,1,0,99000.0,Pensioner,Higher education,Single / not married,House / apartment,18352,0,0,1,0,NaN,1.0,60.0,2.0,-1.0,12,1,3,1,2,50,0.0,50.0,1,1
17,12701,0,1,1,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,12496,127,0,0,0,Laborers,3.0,60.0,0.0,-2.0,8,1,1,4,0,34,1.0,33.0,1,1
18,23370,1,1,1,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17592,2923,0,0,0,Core staff,3.0,60.0,2.0,-2.0,3,1,1,0,0,48,9.0,39.0,1,1
19,8884,1,0,1,0,162000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,12369,1432,1,1,0,Managers,2.0,60.0,2.0,-2.0,10,1,0,4,0,33,4.0,29.0,2,1
20,22577,1,0,1,0,292500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,23672,0,0,0,0,NaN,1.0,60.0,2.0,-1.0,12,1,2,1,0,64,0.0,64.0,1,1
